位置,实际,预测
9004,文本段,二级标题
9005,文本段,二级标题
9010,二级标题,文本段
9012,二级标题,文本段
9014,二级标题,文本段
9087,二级标题,一级标题
9170,一级标题,二级标题
9213,姓名,单位
9214,文本段,单位
9216,单位,邮箱
9217,单位,一级标题
9218,单位,邮箱
9219,邮箱,一级标题
9220,论文名称,二级标题
9221,中文摘要,文本段
9222,中文关键词,二级标题
9223,一级标题,二级标题
9225,一级标题,二级标题
9227,一级标题,二级标题
9228,二级标题,文本段
9232,二级标题,三级标题
9247,单位,姓名
9254,一级标题,文本段
9321,表格,文本段
9350,一级标题,二级标题
9475,文本段,公式
9497,文本段,图题
9518,文本段,图题
9541,一级标题,二级标题
9546,一级标题,二级标题
9551,一级标题,二级标题
9611,文本段,公式
9614,文本段,公式
9622,公式,图片
9649,一级标题,二级标题
9659,文本段,一级标题
9675,文本段,图片
9700,一级标题,二级标题
9763,一级标题,二级标题
9801,姓名,单位
9808,一级标题,二级标题
9813,一级标题,二级标题
9835,图片,图题
9840,图片,图题
9845,文本段,图题
9950,一级标题,二级标题
9956,姓名,单位
9958,中文摘要,中文关键词
9962,一级标题,二级标题
10056,姓名,单位
10060,单位,姓名
10084,一级标题,二级标题
10094,论文名称,姓名
10125,三级标题,二级标题
10127,三级标题,二级标题
10148,图片,公式
10149,图片,图题
10171,文本段,图题
10193,姓名,图题
10203,一级标题,二级标题
10330,表题,表格
10381,文本段,图题
10439,文本段,二级标题
10455,中文关键词,单位
10463,文本段,一级标题
10467,文本段,一级标题
10469,文本段,一级标题
10471,文本段,一级标题
10496,表格,图片
10552,图片,表格
